Ticker;Status;Profit Factor;Total Trades;Win Rate (%);Net Profit (%)
BHIA3.SA;APROVADO;3,12;20;25,0;155,13
MOVI3.SA;APROVADO;6,47;16;62,5;127,19
MGLU3.SA;APROVADO;2,58;16;43,75;80,43
MRVE3.SA;APROVADO;2,91;18;50,0;76,6
COGN3.SA;APROVADO;4,36;14;50,0;73,19
JHSF3.SA;APROVADO;5,03;21;57,14;65,85
CURY3.SA;APROVADO;2,94;17;41,18;56,68
CASH3.SA;APROVADO;1,74;19;15,79;56,29
NEOE3.SA;APROVADO;8,32;16;68,75;47,38
PRIO3.SA;APROVADO;6,04;15;60,0;47,11
ITUB4.SA;APROVADO;5,38;16;56,25;46,75
MILS3.SA;APROVADO;6,22;15;53,33;46,68
RDOR3.SA;APROVADO;2,84;18;55,56;44,48
BPAC11.SA;APROVADO;2,83;18;55,56;41,2
CYRE3.SA;APROVADO;2,6;19;57,89;40,74
EZTC3.SA;APROVADO;2,44;18;61,11;38,58
DIRR3.SA;APROVADO;1,99;18;44,44;38,51
ITSA4.SA;APROVADO;4,59;19;63,16;37,04
SBSP3.SA;APROVADO;2,69;18;50,0;35,85
VIVT3.SA;APROVADO;4,28;16;43,75;35,41
GGPS3.SA;APROVADO;2,62;17;52,94;35,27
SAPR4.SA;APROVADO;3,34;17;47,06;35,04
PSSA3.SA;APROVADO;3,81;15;53,33;33,59
ALOS3.SA;APROVADO;2,82;15;53,33;32,12
BOVA11.SA;APROVADO;4,64;21;52,38;31,72
IGTI11.SA;APROVADO;2,48;15;46,67;31,61
VBBR3.SA;APROVADO;2,41;23;43,48;31,55
BBDC4.SA;APROVADO;3,45;20;60,0;31,32
RENT3.SA;APROVADO;2,24;11;45,45;31,21
BRAV3.SA;APROVADO;3,7;19;42,11;30,42
SAPR11.SA;APROVADO;2,31;19;47,37;29,5
B3SA3.SA;APROVADO;1,95;17;58,82;28,46
AZUL4.SA;APROVADO;1,3;16;6,25;28,29
TOTS3.SA;APROVADO;2,64;20;60,0;26,97
UGPA3.SA;APROVADO;1,68;18;55,56;26,62
BRAP4.SA;APROVADO;2,1;17;47,06;26,13
MULT3.SA;APROVADO;2,19;21;52,38;25,95
TAEE11.SA;APROVADO;2,48;18;55,56;23,69
VIVA3.SA;APROVADO;1,79;18;55,56;22,9
ALUP11.SA;APROVADO;2,77;17;52,94;22,17
FLRY3.SA;APROVADO;1,75;21;38,1;22,12
PCAR3.SA;APROVADO;1,41;21;33,33;22,09
POSI3.SA;APROVADO;2,09;15;60,0;22,02
VAMO3.SA;APROVADO;1,92;17;52,94;21,72
RADL3.SA;APROVADO;1,74;22;40,91;20,64
PETR4.SA;APROVADO;2,07;15;53,33;20,06
ECOR3.SA;APROVADO;1,45;21;42,86;19,84
USIM5.SA;APROVADO;1,64;20;50,0;18,92
ASAI3.SA;APROVADO;1,36;21;38,1;18,57
VALE3.SA;APROVADO;1,69;18;44,44;17,77
AURE3.SA;APROVADO;1,95;19;52,63;17,52
PETR3.SA;APROVADO;1,62;16;37,5;16,89
BBDC3.SA;APROVADO;2,15;23;34,78;16,26
GOAU4.SA;APROVADO;1,74;16;50,0;15,73
KEPL3.SA;APROVADO;1,53;18;38,89;15,48
CVCB3.SA;APROVADO;1,3;20;45,0;15,15
BEEF3.SA;APROVADO;1,37;15;46,67;14,31
LWSA3.SA;APROVADO;1,36;21;42,86;13,39
GGBR4.SA;APROVADO;1,55;18;44,44;11,92
UNIP6.SA;APROVADO;1,23;20;30,0;11,02
BBAS3.SA;APROVADO;1,49;18;44,44;10,96
HYPE3.SA;APROVADO;1,32;17;41,18;10,18
ENEV3.SA;APROVADO;1,3;19;47,37;10,1
SANB11.SA;APROVADO;1,35;18;33,33;9,13
CAML3.SA;REPROVADO;1,19;19;26,32;8,75
LREN3.SA;APROVADO;1,22;18;44,44;7,45
ENGI11.SA;APROVADO;1,2;19;52,63;6,25
CPFE3.SA;APROVADO;1,25;19;21,05;5,84
ABEV3.SA;REPROVADO;1,2;19;26,32;5,39
YDUQ3.SA;REPROVADO;1,13;20;35,0;5,05
