Symbol,Type
WDOG26,Indice
WING26,Indice
ABEV3,Acao
AESB3,Acao
ALOS3,Acao
ALUP11,Acao
ARZZ3,Acao
ASAI3,Acao
AURE3,Acao
AZUL4,Acao
B3SA3,Acao
BBAS3,Acao
BBDC3,Acao
BBDC4,Acao
BBSE3,Acao
BEEF3,Acao
BHIA3,Acao
BOVA11,Acao
BPAC11,Acao
BRAP4,Acao
BRAV3,Acao
BRFS3,Acao
BRKM5,Acao
CAML3,Acao
CASH3,Acao
CCRO3,Acao
CIEL3,Acao
CMIG4,Acao
CMIN3,Acao
COGN3,Acao
CPFE3,Acao
CPLE6,Acao
CRFB3,Acao
CSAN3,Acao
CSNA3,Acao
CURY3,Acao
CVCB3,Acao
CXSE3,Acao
CYRE3,Acao
DIRR3,Acao
DXCO3,Acao
ECOR3,Acao
EGIE3,Acao
ELET3,Acao
ELET6,Acao
EMBR3,Acao
ENAT3,Acao
ENEV3,Acao
ENGI11,Acao
EQTL3,Acao
EZTC3,Acao
FLRY3,Acao
GGBR4,Acao
GGPS3,Acao
GOAU4,Acao
GOLL4,Acao
HAPV3,Acao
HYPE3,Acao
IGTI11,Acao
INTB3,Acao
IRBR3,Acao
ITSA4,Acao
ITUB4,Acao
IVVB11,Acao
JBSS3,Acao
JHSF3,Acao
KEPL3,Acao
KLBN11,Acao
LREN3,Acao
LWSA3,Acao
MATD3,Acao
MGLU3,Acao
MILS3,Acao
MOVI3,Acao
MRFG3,Acao
MRVE3,Acao
MULT3,Acao
MYPK3,Acao
NEOE3,Acao
NTCO3,Acao
PCAR3,Acao
PETR3,Acao
PETR4,Acao
PETZ3,Acao
POSI3,Acao
PRIO3,Acao
PSSA3,Acao
RADL3,Acao
RAIL3,Acao
RAIZ4,Acao
RANI3,Acao
RDOR3,Acao
RECV3,Acao
RENT3,Acao
ROMI3,Acao
RRRP3,Acao
SANB11,Acao
SAPR11,Acao
SAPR4,Acao
SBSP3,Acao
SLCE3,Acao
SMAL11,Acao
SMTO3,Acao
SOMA3,Acao
STBP3,Acao
SUZB3,Acao
TAEE11,Acao
TIMS3,Acao
TOTS3,Acao
TRPL4,Acao
UGPA3,Acao
UNIP6,Acao
USIM5,Acao
VALE3,Acao
VAMO3,Acao
VBBR3,Acao
VIVA3,Acao
VIVT3,Acao
WEGE3,Acao
YDUQ3,Acao
