Symbol,Path,Description
BOVA11,BVMF-Equities\BOVA11,ISHARES BOVACI
TF473,BVMF-Equities\TF473,ATIVO TESTE ON
BRKM5,BVMF-Equities\BRKM5,BRASKEM     PNA     N1
WINZ22,GTW_BMF\WINZ22,IBOVESPA MINI
WING23,GTW_BMF\WING23,IBOVESPA MINI
WDOF23,GTW_BMF\WDOF23,DOLAR MINI
WDOZ22,GTW_BMF\WDOZ22,DOLAR MINI
WDOG23,GTW_BMF\WDOG23,DOLAR MINI
WDOH23,GTW_BMF\WDOH23,DOLAR MINI
PETR4,BVMF-Equities\PETR4,PETROBRAS   PN      N2
VALE3,BVMF-Equities\VALE3,VALE        ON      NM
MGLU3,BVMF-Equities\MGLU3,MAGAZ LUIZA ON      NM
USIM5,BVMF-Equities\USIM5,USIMINAS    PNA     N1
SMTO3,BVMF-Equities\SMTO3,SAO MARTINHOON      NM
ELET3,BVMF-Equities\ELET3,ELETROBRAS  ON      N1
WINV25,BVMF-Derivatives\WINV25,IBOVESPA MINI
INDV25,BVMF-Derivatives\INDV25,INDICE BOVESPA
DOLV25,BVMF-Derivatives\DOLV25,DOLAR COMERCIAL FUTURO
WDOV25,BVMF-Derivatives\WDOV25,DOLAR MINI
BPAC11,BVMF-Equities\BPAC11,BTGP BANCO  UNT     N2
PETR3,BVMF-Equities\PETR3,PETROBRAS   ON      N2
ITUB4,BVMF-Equities\ITUB4,ITAUUNIBANCOPN      N1
BBDC4,BVMF-Equities\BBDC4,BRADESCO    PN  EJ  N1
BBAS3,BVMF-Equities\BBAS3,BRASIL      ON      NM
EMBR3,BVMF-Equities\EMBR3,EMBRAER     ON      NM
RAIL3,BVMF-Equities\RAIL3,RUMO S.A.   ON      NM
SIMH3,BVMF-Equities\SIMH3,SIMPAR      ON      NM
MRFG3,BVMF-Equities\MRFG3,MARFRIG     ON  ED  NM
CYRE3,BVMF-Equities\CYRE3,CYRELA REALTON      NM
ALOS3,BVMF-Equities\ALOS3,ALLOS       ON  ED  NM
RECV3,BVMF-Equities\RECV3,PETRORECSA  ON      NM
RDOR3,BVMF-Equities\RDOR3,REDE D OR   ON  EJ  NM
VBBR3,BVMF-Equities\VBBR3,VIBRA       ON      NM
CPLE3,BVMF-Equities\CPLE3,COPEL       ON      N2
BRFS3,BVMF-Equities\BRFS3,BRF SA      ON  EDJ NM
CSNA3,BVMF-Equities\CSNA3,SID NACIONALON
MULT3,BVMF-Equities\MULT3,MULTIPLAN   ON  EJ  N2
MYPK3,BVMF-Equities\MYPK3,IOCHP-MAXIONON      NM
BRAV3,BVMF-Equities\BRAV3,BRAVA       ON      NM
BITU25,BVMF-Derivatives\BITU25,Futuro de Bitcoin
ETRU25,BVMF-Derivatives\ETRU25,FUTURO ETHER
SOLU25,BVMF-Derivatives\SOLU25,FUTURO SOLANA
FNAM11,BVMF-Equities\FNAM11,FINAM       CI *
FNOR11,BVMF-Equities\FNOR11,FINOR       CI *
TF519,BVMF-Equities\TF519,ATIVO TESTE ON SPA
TF518,BVMF-Equities\TF518,ATIVO TESTE   ON DR
TF555,BVMF-Equities\TF555,ATIVO TESTE   ON DR
TF655,BVMF-Equities\TF655,ATIVO TESTE ON
BBAS3T,BVMF-Equities\BBAS3T,BRASIL      ON      NM
BBAS11T,BVMF-Equities\BBAS11T,BRASIL      ON  SJ1 NM
CVCB3T,BVMF-Equities\CVCB3T,CVC BRASIL  ON      NM
BBAS12T,BVMF-Equities\BBAS12T,BRASIL      ON  SJ2 NM
USIM3T,BVMF-Equities\USIM3T,USIMINAS    ON      N1
USIM5T,BVMF-Equities\USIM5T,USIMINAS    PNA     N1
USIM6T,BVMF-Equities\USIM6T,USIMINAS    PNB     N1
HAPV3T,BVMF-Equities\HAPV3T,HAPVIDA     ON      NM
TF693,BVMF-Equities\TF693,ATIVO TESTE ON
TF694,BVMF-Equities\TF694,ATIVO TESTE   ON DR
TF681,BVMF-Equities\TF681,ATIVO TESTE ON SPA
B3SA3T,BVMF-Equities\B3SA3T,B3          ON  EJ  NM
USIM6,BVMF-Equities\USIM6,USIMINAS    PNB     N1
USIM3,BVMF-Equities\USIM3,USIMINAS    ON      N1
TF682,BVMF-Equities\TF682,ATIVO TESTE   ON DR
USIM3Q,BVMF-Equities\USIM3Q,USIMINAS    ON      N1
USIM6F,BVMF-Equities\USIM6F,USIMINAS    PNB     N1
USIM3M,BVMF-Equities\USIM3M,USIMINAS    ON      N1
USIM3R,BVMF-Equities\USIM3R,USIMINAS    ON      N1
USIM3F,BVMF-Equities\USIM3F,USIMINAS    ON      N1
CVCB3R,BVMF-Equities\CVCB3R,CVC BRASIL  ON      NM
CVCB3Q,BVMF-Equities\CVCB3Q,CVC BRASIL  ON      NM
CVCB3M,BVMF-Equities\CVCB3M,CVC BRASIL  ON      NM
CVCB3F,BVMF-Equities\CVCB3F,CVC BRASIL  ON      NM
CVCB3,BVMF-Equities\CVCB3,CVC BRASIL  ON      NM
BBAS12F,BVMF-Equities\BBAS12F,BRASIL      ON  SJ2 NM
BBAS11F,BVMF-Equities\BBAS11F,BRASIL      ON  SJ1 NM
BBAS12,BVMF-Equities\BBAS12,BRASIL      ON  SJ2 NM
BBAS11,BVMF-Equities\BBAS11,BRASIL      ON  SJ1 NM
USIM5R,BVMF-Equities\USIM5R,USIMINAS    PNA     N1
HAPV3,BVMF-Equities\HAPV3,HAPVIDA     ON      NM
USIM5Q,BVMF-Equities\USIM5Q,USIMINAS    PNA     N1
USIM5M,BVMF-Equities\USIM5M,USIMINAS    PNA     N1
USIM5F,BVMF-Equities\USIM5F,USIMINAS    PNA     N1
HAPV3M,BVMF-Equities\HAPV3M,HAPVIDA     ON      NM
HAPV3R,BVMF-Equities\HAPV3R,HAPVIDA     ON      NM
HAPV3Q,BVMF-Equities\HAPV3Q,HAPVIDA     ON      NM
HAPV3F,BVMF-Equities\HAPV3F,HAPVIDA     ON      NM
BBAS3Q,BVMF-Equities\BBAS3Q,BRASIL      ON      NM
B3SA3,BVMF-Equities\B3SA3,B3          ON  EJ  NM
BBAS3F,BVMF-Equities\BBAS3F,BRASIL      ON      NM
BBAS3R,BVMF-Equities\BBAS3R,BRASIL      ON      NM
BBAS3M,BVMF-Equities\BBAS3M,BRASIL      ON      NM
B3SA3F,BVMF-Equities\B3SA3F,B3          ON  EJ  NM
B3SA3M,BVMF-Equities\B3SA3M,B3          ON  EJ  NM
B3SA3R,BVMF-Equities\B3SA3R,B3          ON  EJ  NM
B3SA3Q,BVMF-Equities\B3SA3Q,B3          ON  EJ  NM
GGBR4T,BVMF-Equities\GGBR4T,GERDAU      PN      N1
FESA4T,BVMF-Equities\FESA4T,FERBASA     PN      N1
TKNO4T,BVMF-Equities\TKNO4T,TEKNO       PN
MGEL4T,BVMF-Equities\MGEL4T,MANGELS INDLPN
TKNO3T,BVMF-Equities\TKNO3T,TEKNO       ON
PATI3T,BVMF-Equities\PATI3T,PANATLANTICAON
APTI4T,BVMF-Equities\APTI4T,ALIPERTI    PN
GOAU3T,BVMF-Equities\GOAU3T,GERDAU MET  ON      N1
MGEL3T,BVMF-Equities\MGEL3T,MANGELS INDLON
PATI4T,BVMF-Equities\PATI4T,PANATLANTICAPN
