Hora_Ocorrencia_Exata,Direcao_Executada,Preco_Entrada,Gatilho_EMA9,Gatilho_SMA21,Filtro_VWAP,Trajetoria_Pontos
2026-04-08 09:24:05,VENDA,193780.0,193713.19,193873.1,193921.34,[]
2026-04-08 09:29:00,COMPRA,194115.0,193822.14,193806.67,193898.47,"[-10, -25, -5, 0, -5, -5, 0, 0, -5, 30, 15, 20, 20, 25, 20, 50, 50, 60, 75, 80, 100, 100, 90, 100, 125, 95, 70, 90, 100, 105, 115, 135, 135, 135, 165, 150, 160, 170, 175, 165, 160, 120, 150, 160, 145, 135, 130, 130, 125, 130, 125, 110, 90, 85, 95, 105, 90, 90, 80, 65, 65, 30, 40, 50, -10, -20, -15, -25, -35, -30, -30, -30, -30, -75]"
2026-04-08 11:07:00,VENDA,192360.0,192420.27,192427.14,193825.8,[]
2026-04-08 11:13:59,VENDA,192270.0,192328.08,192328.33,193755.89,"[-10, -10, 10, 5, 5, -15, -25, -35, -25, -35, -25, -35, -25, -35]"
2026-04-08 11:52:00,VENDA,191840.0,192083.08,192094.29,193457.75,"[-10, 0, 5, 30, 15, 10, 20, 15, 30, 10, 15, 20, 0, -10, 10, -15, -5, -5]"
2026-04-08 12:31:00,VENDA,192385.0,192486.62,192500.95,193255.1,"[0, 0, 0, 5, 5, 0, -10, -5, -15, -25, -30, -25, -20, -30, -35, -25, -10, -20, 5, -5, -30, -20, -25, -30, -30, -20, -5, 5, -5, -5, -10, -10, -5, -30, -30]"
2026-04-08 13:06:00,VENDA,192550.0,192608.96,192620.0,193048.91,"[0, 35, 25, 25, 25, 5, 10, 5, 5, 0, 5, 20, 20, 20, 20, 5, 15, 10, 0, -10, -20, -15, -15, -20, -35, -40, -25, -25, -35, -35]"
2026-04-08 13:31:00,VENDA,192390.0,192433.22,192435.95,192682.25,"[-5, -20, -30, -35, -40, -35, -40, -35, -35, -40, -35, -30, -30, -30, -25, -20, -10, -25, -20, -30, -40, -35, -35]"
2026-04-08 14:35:01,COMPRA,193025.0,192921.36,192899.29,192449.98,"[-5, -25, -30, -30, -25, -35, -20, -15, -15, -35, -40, -35]"
2026-04-08 15:02:00,COMPRA,193040.0,192974.83,192968.33,192599.26,"[-5, -30, -45, -40]"
2026-04-08 15:20:01,VENDA,192625.0,192973.95,193043.57,192739.8,"[0, -30]"
